id,size,actions,impact,feasibility,attractiveness,positive,negative
00,1,Care and Respect from Technician,0.4410143329658214,5,2.2050716648291067,"Max stated that Atlantic Cat is very expensive, but the mechanic was excellent.  (12237977)<BR/>","",
01,2,Service Completed Successfully,1.1834608762715824,5,5.917304381357912,"Mr. Brassard stated that the repairs were done correctly and in time promised.  (12162626)<BR/>He said timely service and done correctly..  (12239264)<BR/>He stated that they always do well.  (15069687)<BR/>He said timely service and done correctly and &quotquick turn around&quot.  (12165106)<BR/>Mr. Paquette stated that the work was well done, the punctuality was right on point and the service was very very good.  (12237964)<BR/>Edward always find the problem and were able to repair it correctly and get them back up and running.  (15231781)<BR/>","",
01,2,Care and Respect from Technician,1.1834608762715824,5,5.917304381357912,"Max stated that Atlantic Cat is very expensive, but the mechanic was excellent.  (12237977)<BR/>","",
02,2,Proactive Communication,0.4410143329658214,5,2.2050716648291067,"He stated good communication.  (15231148)<BR/>","",
02,2,Care and Respect from Technician,0.4410143329658214,5,2.2050716648291067,"Max stated that Atlantic Cat is very expensive, but the mechanic was excellent.  (12237977)<BR/>","",
03,3,Service Completed Successfully,1.6853047724051031,5,8.426523862025515,"Mr. Brassard stated that the repairs were done correctly and in time promised.  (12162626)<BR/>He said timely service and done correctly..  (12239264)<BR/>He stated that they always do well.  (15069687)<BR/>He said timely service and done correctly and &quotquick turn around&quot.  (12165106)<BR/>Mr. Paquette stated that the work was well done, the punctuality was right on point and the service was very very good.  (12237964)<BR/>Edward always find the problem and were able to repair it correctly and get them back up and running.  (15231781)<BR/>","",
03,3,Care and Respect from Technician,1.6853047724051031,5,8.426523862025515,"Max stated that Atlantic Cat is very expensive, but the mechanic was excellent.  (12237977)<BR/>","",
03,3,Knowledgeable Staff,1.6853047724051031,5,8.426523862025515,"He said great service & knowledgeable staff.  (12322724)<BR/>Mr. Lampron stated that the guys are professional, he never really had any problems and everything went well.  (12414214)<BR/>","",
04,3,Service Completed Successfully,1.0703067290912742,5,5.351533645456371,"Mr. Brassard stated that the repairs were done correctly and in time promised.  (12162626)<BR/>He said timely service and done correctly..  (12239264)<BR/>He stated that they always do well.  (15069687)<BR/>He said timely service and done correctly and &quotquick turn around&quot.  (12165106)<BR/>Mr. Paquette stated that the work was well done, the punctuality was right on point and the service was very very good.  (12237964)<BR/>Edward always find the problem and were able to repair it correctly and get them back up and running.  (15231781)<BR/>","",
04,3,Proactive Communication,1.0703067290912742,5,5.351533645456371,"He stated good communication.  (15231148)<BR/>","",
04,3,Knowledgeable Staff,1.0703067290912742,5,5.351533645456371,"He said great service & knowledgeable staff.  (12322724)<BR/>Mr. Lampron stated that the guys are professional, he never really had any problems and everything went well.  (12414214)<BR/>","",
05,4,Service Completed Successfully,3.016668607312823,5,15.083343036564115,"Mr. Brassard stated that the repairs were done correctly and in time promised.  (12162626)<BR/>He said timely service and done correctly..  (12239264)<BR/>He stated that they always do well.  (15069687)<BR/>He said timely service and done correctly and &quotquick turn around&quot.  (12165106)<BR/>Mr. Paquette stated that the work was well done, the punctuality was right on point and the service was very very good.  (12237964)<BR/>Edward always find the problem and were able to repair it correctly and get them back up and running.  (15231781)<BR/>","",
05,4,Proactive Communication,3.016668607312823,5,15.083343036564115,"He stated good communication.  (15231148)<BR/>","",
05,4,Care and Respect from Technician,3.016668607312823,5,15.083343036564115,"Max stated that Atlantic Cat is very expensive, but the mechanic was excellent.  (12237977)<BR/>","",
05,4,Knowledgeable Staff,3.016668607312823,5,15.083343036564115,"He said great service & knowledgeable staff.  (12322724)<BR/>Mr. Lampron stated that the guys are professional, he never really had any problems and everything went well.  (12414214)<BR/>","",
