id,size,actions,impact,feasibility,attractiveness,positive,negative
00,1,Service Completed Successfully,0.5657708628005658,5,2.828854314002829,"Jim said they have knowledge to repair correctly and promptly.  (13479192)<BR/>Randy stated that they were working to improve on fuel mileage and the gear box, and were able to get both fixed.  (13348380)<BR/>Larry said timely arrival and ability to repair correctly.  (15438148)<BR/>Rick said XXX Company provides quick in and out service and the repair is done correctly.  (12584042)<BR/>Bob stated he had a couple alarms going off and they came down and fixed it right away.  (15101776)<BR/>Johnathan said the technciains are good with people, they really listen to you and they get the equipment fixed quickly.  (13070585)<BR/>Ron stated that they jumped right on it, came out and fixed it.  (15309621)<BR/>John said everything was done well on this service of replacing the air conditioning compressor on this machine.  (13234526)<BR/>Brian stated XXX Company does a wonderful job each time.  He said they come out to fix the equipment correctly the first time.  (14601190)<BR/>Frank stated XXX Company fixed the equipment.  (14769259)<BR/>He stated that they do well. He stated that they kept him informed and let him know of any repairs that needed to be done.  (14553720)<BR/>Jim stated they get the job done correctly and right on time.  (14657342)<BR/>Eric said diagnosed issues and got fixed quickly.  (14976344)<BR/>","Richard stated becuase they were not able to complete the repair correctly and the timeliness of the repair.  (15101910)<BR/>",
01,2,Service Completed Successfully,1.1315417256011315,5,5.657708628005658,"Jim said they have knowledge to repair correctly and promptly.  (13479192)<BR/>Randy stated that they were working to improve on fuel mileage and the gear box, and were able to get both fixed.  (13348380)<BR/>Larry said timely arrival and ability to repair correctly.  (15438148)<BR/>Rick said XXX Company provides quick in and out service and the repair is done correctly.  (12584042)<BR/>Bob stated he had a couple alarms going off and they came down and fixed it right away.  (15101776)<BR/>Johnathan said the technciains are good with people, they really listen to you and they get the equipment fixed quickly.  (13070585)<BR/>Ron stated that they jumped right on it, came out and fixed it.  (15309621)<BR/>John said everything was done well on this service of replacing the air conditioning compressor on this machine.  (13234526)<BR/>Brian stated XXX Company does a wonderful job each time.  He said they come out to fix the equipment correctly the first time.  (14601190)<BR/>Frank stated XXX Company fixed the equipment.  (14769259)<BR/>He stated that they do well. He stated that they kept him informed and let him know of any repairs that needed to be done.  (14553720)<BR/>Jim stated they get the job done correctly and right on time.  (14657342)<BR/>Eric said diagnosed issues and got fixed quickly.  (14976344)<BR/>","Richard stated becuase they were not able to complete the repair correctly and the timeliness of the repair.  (15101910)<BR/>",
01,2,Proactive Communication,1.1315417256011315,5,5.657708628005658,"JC said XXX Company does a good job with communication before and after the service.  (12744910)<BR/>Mike said very good communication in setting up times.  He also said that there was no mess when they were cleaning up.  (14928942)<BR/>Jeff stated that they have good communication.  (14819246)<BR/>Mike said the communication was good.  (15309816)<BR/>He said Ron South does a good job of communication with customer about the repair status.  (12651453)<BR/>Ronn said they have good communication and regular maintenace set up.  (15310106)<BR/>Kevin said they have good communication, prompt service and they have knowledgeable technicians.  (12793193)<BR/>He stated they do everything very well.  From communication, to work, to clean up and notification they are good.  (13308518)<BR/>He stated that they consistently do a good job, communicate well and are expedient.  (15272202)<BR/>Roger said they informed him of arrival time and good communication.  (15152766)<BR/>Mike stated they were prompt, and provided good communication during the service.  (12403120)<BR/>Steve stated they kept him well informed and the timeliness of the repair.  (14769298)<BR/>Mark said they communciated very well, the technician called before he came out there and they were very thorough.  (13115044)<BR/>","",
02,2,Service Completed Successfully,1.1315417256011315,5,5.657708628005658,"Jim said they have knowledge to repair correctly and promptly.  (13479192)<BR/>Randy stated that they were working to improve on fuel mileage and the gear box, and were able to get both fixed.  (13348380)<BR/>Larry said timely arrival and ability to repair correctly.  (15438148)<BR/>Rick said XXX Company provides quick in and out service and the repair is done correctly.  (12584042)<BR/>Bob stated he had a couple alarms going off and they came down and fixed it right away.  (15101776)<BR/>Johnathan said the technciains are good with people, they really listen to you and they get the equipment fixed quickly.  (13070585)<BR/>Ron stated that they jumped right on it, came out and fixed it.  (15309621)<BR/>John said everything was done well on this service of replacing the air conditioning compressor on this machine.  (13234526)<BR/>Brian stated XXX Company does a wonderful job each time.  He said they come out to fix the equipment correctly the first time.  (14601190)<BR/>Frank stated XXX Company fixed the equipment.  (14769259)<BR/>He stated that they do well. He stated that they kept him informed and let him know of any repairs that needed to be done.  (14553720)<BR/>Jim stated they get the job done correctly and right on time.  (14657342)<BR/>Eric said diagnosed issues and got fixed quickly.  (14976344)<BR/>","Richard stated becuase they were not able to complete the repair correctly and the timeliness of the repair.  (15101910)<BR/>",
02,2,Price Competitiveness,1.1315417256011315,5,5.657708628005658,"","Jere stated that he feels the prices are high.  (13194590)<BR/>He  stated prices are too high.  (12891276)<BR/>",
03,3,Service Completed Successfully,3.478867620549395,5,17.394338102746975,"Jim said they have knowledge to repair correctly and promptly.  (13479192)<BR/>Randy stated that they were working to improve on fuel mileage and the gear box, and were able to get both fixed.  (13348380)<BR/>Larry said timely arrival and ability to repair correctly.  (15438148)<BR/>Rick said XXX Company provides quick in and out service and the repair is done correctly.  (12584042)<BR/>Bob stated he had a couple alarms going off and they came down and fixed it right away.  (15101776)<BR/>Johnathan said the technciains are good with people, they really listen to you and they get the equipment fixed quickly.  (13070585)<BR/>Ron stated that they jumped right on it, came out and fixed it.  (15309621)<BR/>John said everything was done well on this service of replacing the air conditioning compressor on this machine.  (13234526)<BR/>Brian stated XXX Company does a wonderful job each time.  He said they come out to fix the equipment correctly the first time.  (14601190)<BR/>Frank stated XXX Company fixed the equipment.  (14769259)<BR/>He stated that they do well. He stated that they kept him informed and let him know of any repairs that needed to be done.  (14553720)<BR/>Jim stated they get the job done correctly and right on time.  (14657342)<BR/>Eric said diagnosed issues and got fixed quickly.  (14976344)<BR/>","Richard stated becuase they were not able to complete the repair correctly and the timeliness of the repair.  (15101910)<BR/>",
03,3,Proactive Communication,3.478867620549395,5,17.394338102746975,"JC said XXX Company does a good job with communication before and after the service.  (12744910)<BR/>Mike said very good communication in setting up times.  He also said that there was no mess when they were cleaning up.  (14928942)<BR/>Jeff stated that they have good communication.  (14819246)<BR/>Mike said the communication was good.  (15309816)<BR/>He said Ron South does a good job of communication with customer about the repair status.  (12651453)<BR/>Ronn said they have good communication and regular maintenace set up.  (15310106)<BR/>Kevin said they have good communication, prompt service and they have knowledgeable technicians.  (12793193)<BR/>He stated they do everything very well.  From communication, to work, to clean up and notification they are good.  (13308518)<BR/>He stated that they consistently do a good job, communicate well and are expedient.  (15272202)<BR/>Roger said they informed him of arrival time and good communication.  (15152766)<BR/>Mike stated they were prompt, and provided good communication during the service.  (12403120)<BR/>Steve stated they kept him well informed and the timeliness of the repair.  (14769298)<BR/>Mark said they communciated very well, the technician called before he came out there and they were very thorough.  (13115044)<BR/>","",
03,3,Care and Respect From Staff,3.478867620549395,5,17.394338102746975,"Bob stated Tom Bellem is good guy and as a technician knows what is he is doing.  Bob has worked with him for a long time.  (12354721)<BR/>Denis stated that they have a good group of guys that inform him on status and how to take care of any issues.  (12583775)<BR/>He said the repair was done quickly, and the employees are very good.  (12651785)<BR/>Jeremy shared always out there when they are needed, provide good work and are good guys.  (12502149)<BR/>Colt stated that he liked the field technician, Brad Cox, he was a nice guy.  (15272134)<BR/>","",
04,3,Service Completed Successfully,3.3946251768033946,5,16.973125884016973,"Jim said they have knowledge to repair correctly and promptly.  (13479192)<BR/>Randy stated that they were working to improve on fuel mileage and the gear box, and were able to get both fixed.  (13348380)<BR/>Larry said timely arrival and ability to repair correctly.  (15438148)<BR/>Rick said XXX Company provides quick in and out service and the repair is done correctly.  (12584042)<BR/>Bob stated he had a couple alarms going off and they came down and fixed it right away.  (15101776)<BR/>Johnathan said the technciains are good with people, they really listen to you and they get the equipment fixed quickly.  (13070585)<BR/>Ron stated that they jumped right on it, came out and fixed it.  (15309621)<BR/>John said everything was done well on this service of replacing the air conditioning compressor on this machine.  (13234526)<BR/>Brian stated XXX Company does a wonderful job each time.  He said they come out to fix the equipment correctly the first time.  (14601190)<BR/>Frank stated XXX Company fixed the equipment.  (14769259)<BR/>He stated that they do well. He stated that they kept him informed and let him know of any repairs that needed to be done.  (14553720)<BR/>Jim stated they get the job done correctly and right on time.  (14657342)<BR/>Eric said diagnosed issues and got fixed quickly.  (14976344)<BR/>","Richard stated becuase they were not able to complete the repair correctly and the timeliness of the repair.  (15101910)<BR/>",
04,3,Proactive Communication,3.3946251768033946,5,16.973125884016973,"JC said XXX Company does a good job with communication before and after the service.  (12744910)<BR/>Mike said very good communication in setting up times.  He also said that there was no mess when they were cleaning up.  (14928942)<BR/>Jeff stated that they have good communication.  (14819246)<BR/>Mike said the communication was good.  (15309816)<BR/>He said Ron South does a good job of communication with customer about the repair status.  (12651453)<BR/>Ronn said they have good communication and regular maintenace set up.  (15310106)<BR/>Kevin said they have good communication, prompt service and they have knowledgeable technicians.  (12793193)<BR/>He stated they do everything very well.  From communication, to work, to clean up and notification they are good.  (13308518)<BR/>He stated that they consistently do a good job, communicate well and are expedient.  (15272202)<BR/>Roger said they informed him of arrival time and good communication.  (15152766)<BR/>Mike stated they were prompt, and provided good communication during the service.  (12403120)<BR/>Steve stated they kept him well informed and the timeliness of the repair.  (14769298)<BR/>Mark said they communciated very well, the technician called before he came out there and they were very thorough.  (13115044)<BR/>","",
