id,size,actions,impact,feasibility,attractiveness,positive,negative
00,1,Competitive Pricing,0.29806259314456035,5,1.4903129657228018,"Trevor said that both of the PSSRS, Sonny kloninger and Jeff Hyde work great, get the parts on time and have good pricing. (12277499)<BR/>","",
01,2,Care and Respect From Staff,1.4903129657228018,5,7.451564828614009,"Sterling stated the staff is very friendly and helpful. (12716227)<BR/>Javier stated they always have the parts ready when he comes in. He stated the staff is very helpful and willing. (15250411)<BR/>He said Eric is a good guy and always calls him right back. (13326387)<BR/>Terry shared that their staff is excellent and they have the best dealership. (15443088)<BR/>He said the staff is always helpful. He said he would like to see a faster phone response. (13034072)<BR/>She said the staff is helpful. (13033145)<BR/>Don stated the service and parts staff is good. (13207503)<BR/>Mr.Ward they have a very friendly parts staff. (15249846)<BR/>Brandon stated they are helpful, knowledgeable, and have a large inventory. (12557541)<BR/>","",
01,2,Knowledgeable Staff,1.4903129657228018,5,7.451564828614009,"Colby said Tractor and Equipment's knowledgeable parts staff. (12897278)<BR/>Andrew stated that they have a knowledgeable parts staff, especially Dick in the parts department. (15119377)<BR/>Kyle stated their parts employees are knowledgeable. (12716098)<BR/>Matt stated it was a smooth transaction, adding the parts staff is knowledgeable, getting his parts in a timely manner. (12527630)<BR/>Greg said the parts personnel are knowledgeable. (13855813)<BR/>Brandon stated they are helpful, knowledgeable, and have a large inventory. (12557541)<BR/>Miles stated that the staff is knowledgeable whenever he asks them a question. (13033236)<BR/>Clayton said NC Machinery's parts staff is knowledgeable and helpful. (13034202)<BR/>Ian stated that they provide fast and good availability of parts and have knowledgeable parts staff. (12210892)<BR/>","He said Tractor and Equipment did not notify him when his windows came in and the parts staff is inexperienced. (13034575)<BR/>Eric stated it takes too long to get parts.  The parts staff is not as knowledgeable as they should be. (12127776)<BR/>",
02,2,Parts Availability,0.9809654964251354,5,4.904827482125677,"Joe stated that when he calls for parts, they are available in a timely manner. (15250734)<BR/>Jeffrey stated they provide quality service,and have a good parts inventory. (12771050)<BR/>Rod shared that they are knowledgeable and have very good inventory. (15119480)<BR/>Craig stated they have good parts inventory. (12527823)<BR/>David stated that the have parts available and in stock when needed. (15443205)<BR/>Rick stated N C Machinery has a good stock. (13207065)<BR/>Bruce said N C Machinery has a very complete inventory. (13953499)<BR/>He stated Dee in parts is outstanding with getting the parts you need and tracking down impossible parts. (13482264)<BR/>Eldon stated the parts are available and they can look them up with serial numbers. (14240336)<BR/>Chris said parts are available. (13953518)<BR/>","Craig said they improved grately over the last three years; parts are more available and personnel has gotten much better. (14616599)<BR/>",
02,2,Parts Quality,0.9809654964251354,5,4.904827482125677,"Will stated they have good availability. (12176172)<BR/>Tyler stated they have good parts availability. (12611337)<BR/>Zak has had a good experience with parts, they help him find part numbers and get the parts to him. (13953060)<BR/>He said the availability of parts is good. (12897083)<BR/>Jeffrey stated they provide quality service,and have a good parts inventory. (12771050)<BR/>Rod shared that they are knowledgeable and have very good inventory. (15119480)<BR/>Craig stated they have good parts inventory. (12527823)<BR/>Rick stated N C Machinery has a good stock. (13207065)<BR/>Howard stated the supply of parts and service is good. (13324662)<BR/>Randy stated they have good products, and good service. He added they are the only dealer as well. (13034449)<BR/>Roger stated N C Machinery has good parts and service and he stated they are reliable. (12771620)<BR/>He stated he received good service and good parts. (13584539)<BR/>","",
03,2,Knowledgeable Staff,0.5961251862891207,5,2.9806259314456036,"Colby said Tractor and Equipment's knowledgeable parts staff. (12897278)<BR/>Andrew stated that they have a knowledgeable parts staff, especially Dick in the parts department. (15119377)<BR/>Kyle stated their parts employees are knowledgeable. (12716098)<BR/>Matt stated it was a smooth transaction, adding the parts staff is knowledgeable, getting his parts in a timely manner. (12527630)<BR/>Greg said the parts personnel are knowledgeable. (13855813)<BR/>Brandon stated they are helpful, knowledgeable, and have a large inventory. (12557541)<BR/>Miles stated that the staff is knowledgeable whenever he asks them a question. (13033236)<BR/>Clayton said NC Machinery's parts staff is knowledgeable and helpful. (13034202)<BR/>Ian stated that they provide fast and good availability of parts and have knowledgeable parts staff. (12210892)<BR/>","He said Tractor and Equipment did not notify him when his windows came in and the parts staff is inexperienced. (13034575)<BR/>Eric stated it takes too long to get parts.  The parts staff is not as knowledgeable as they should be. (12127776)<BR/>",
03,2,Competitive Pricing,0.5961251862891207,5,2.9806259314456036,"Trevor said that both of the PSSRS, Sonny kloninger and Jeff Hyde work great, get the parts on time and have good pricing. (12277499)<BR/>","",
04,3,Parts Availability,2.0147522118885477,5,10.073761059442738,"Joe stated that when he calls for parts, they are available in a timely manner. (15250734)<BR/>Jeffrey stated they provide quality service,and have a good parts inventory. (12771050)<BR/>Rod shared that they are knowledgeable and have very good inventory. (15119480)<BR/>Craig stated they have good parts inventory. (12527823)<BR/>David stated that the have parts available and in stock when needed. (15443205)<BR/>Rick stated N C Machinery has a good stock. (13207065)<BR/>Bruce said N C Machinery has a very complete inventory. (13953499)<BR/>He stated Dee in parts is outstanding with getting the parts you need and tracking down impossible parts. (13482264)<BR/>Eldon stated the parts are available and they can look them up with serial numbers. (14240336)<BR/>Chris said parts are available. (13953518)<BR/>","Craig said they improved grately over the last three years; parts are more available and personnel has gotten much better. (14616599)<BR/>",
04,3,Knowledgeable Staff,2.0147522118885477,5,10.073761059442738,"Colby said Tractor and Equipment's knowledgeable parts staff. (12897278)<BR/>Andrew stated that they have a knowledgeable parts staff, especially Dick in the parts department. (15119377)<BR/>Kyle stated their parts employees are knowledgeable. (12716098)<BR/>Matt stated it was a smooth transaction, adding the parts staff is knowledgeable, getting his parts in a timely manner. (12527630)<BR/>Greg said the parts personnel are knowledgeable. (13855813)<BR/>Brandon stated they are helpful, knowledgeable, and have a large inventory. (12557541)<BR/>Miles stated that the staff is knowledgeable whenever he asks them a question. (13033236)<BR/>Clayton said NC Machinery's parts staff is knowledgeable and helpful. (13034202)<BR/>Ian stated that they provide fast and good availability of parts and have knowledgeable parts staff. (12210892)<BR/>","He said Tractor and Equipment did not notify him when his windows came in and the parts staff is inexperienced. (13034575)<BR/>Eric stated it takes too long to get parts.  The parts staff is not as knowledgeable as they should be. (12127776)<BR/>",
04,3,Parts Quality,2.0147522118885477,5,10.073761059442738,"Will stated they have good availability. (12176172)<BR/>Tyler stated they have good parts availability. (12611337)<BR/>Zak has had a good experience with parts, they help him find part numbers and get the parts to him. (13953060)<BR/>He said the availability of parts is good. (12897083)<BR/>Jeffrey stated they provide quality service,and have a good parts inventory. (12771050)<BR/>Rod shared that they are knowledgeable and have very good inventory. (15119480)<BR/>Craig stated they have good parts inventory. (12527823)<BR/>Rick stated N C Machinery has a good stock. (13207065)<BR/>Howard stated the supply of parts and service is good. (13324662)<BR/>Randy stated they have good products, and good service. He added they are the only dealer as well. (13034449)<BR/>Roger stated N C Machinery has good parts and service and he stated they are reliable. (12771620)<BR/>He stated he received good service and good parts. (13584539)<BR/>","",
